1,32,27,1
1,35,30,2
1,31,26,3
1,31,27,4
1,34,30,5
1,33,29,6
1,33,28,7
1,34,29,8
1,32,28,9
2,27,18,1
2,26,17,2
2,29,24,3
2,29,20,4
2,39,34,5
2,29,18,6
2,32,27,7
2,40,35,7
2,30,24,8
2,35,30,9
2,30,25,10
2,36,31,11
2,37,31,12
2,31,27,13
2,34,30,14
2,33,28,15
2,34,29,16
2,32,28,17
2,38,32,18
2,38,33,19
2,40,34,20
2,39,33,21
2,33,29,22
2,31,26,23
2,28,17,24
2,28,19,25
2,37,32,26
3,29,18,1
3,31,22,1
3,32,23,1
3,37,26,1
3,42,37,1
3,25,14,2
3,30,19,2
3,33,22,2
3,38,27,2
3,39,34,2
3,29,24,3
3,32,21,3
3,27,22,4
3,38,29,5
3,43,39,5
3,30,24,6
3,28,22,7
3,36,27,8
3,29,23,9
3,44,40,10
3,29,20,11
3,33,29,12
3,38,33,13
3,28,23,14
3,39,28,15
3,28,17,16
3,36,31,17
3,40,35,17
3,35,24,18
3,35,30,19
3,26,17,20
3,39,30,21
3,40,29,22
3,32,28,23
3,41,36,24
3,37,31,25
3,32,27,26
3,30,25,27
3,43,38,28
3,42,38,29
3,38,32,30
3,34,30,31
3,40,34,32
3,28,19,33
3,34,29,34
3,33,28,35
3,31,27,36
3,39,33,37
3,31,26,38
3,45,40,39
3,44,39,40
3,37,28,41
3,41,37,42
3,37,32,43
4,27,21,1
4,34,14,1
4,37,17,1
4,48,42,1
4,48,43,1
4,27,16,2
4,32,12,2
4,37,26,2
4,38,18,2
4,38,29,2
4,29,18,3
4,33,24,3
4,40,18,3
4,25,14,4
4,28,22,4
4,40,20,4
4,27,22,5
4,29,23,5
4,32,23,5
4,33,22,5
4,35,24,6
4,47,41,7
4,30,24,8
4,26,37,9
4,38,20,10
4,39,34,10
4,33,11,11
4,34,23,11
4,36,27,12
4,41,36,12
4,49,44,12
4,40,29,13
4,39,28,14
4,42,37,14
4,28,23,15
4,32,21,16
4,38,27,17
4,42,38,18
4,42,31,19
4,32,27,20
4,39,30,21
4,40,35,22
4,29,20,23
4,38,32,24
4,44,40,24
4,33,28,25
4,47,42,26
4,35,30,27
4,33,29,28
4,41,32,28
4,29,24,29
4,49,43,30
4,38,33,31
4,28,17,32
4,30,25,33
4,50,45,34
4,45,40,35
4,36,31,36
4,26,17,37
4,43,38,38
4,37,32,39
4,37,31,40
4,28,19,41
4,32,28,42
4,31,27,43
4,37,28,44
4,40,34,44
4,39,33,45
4,31,26,46
4,34,30,47
4,34,29,48
4,44,39,49
4,50,44,50
4,46,41,51
4,41,37,52
5,30,19,1
5,30,28,1
5,32,23,1
5,38,18,1
5,27,16,2
5,27,21,2
5,28,22,2
5,33,15,2
5,33,22,2
5,33,31,2
5,39,19,2
5,43,39,2
5,48,42,2
5,34,25,3
5,34,23,4
5,38,27,4
5,40,20,4
5,41,32,4
5,37,26,5
5,26,17,6
5,33,11,7
5,39,28,7
5,23,19,8
5,49,44,8
5,29,27,9
5,47,41,9
5,27,18,10
5,27,22,10
5,29,18,11
5,31,22,11
5,25,14,12
5,30,24,13
5,38,29,14
5,42,37,15
5,34,32,16
5,47,42,17
5,28,23,18
5,43,38,19
5,33,24,20
5,36,27,20
5,40,35,20
5,39,34,21
5,29,20,22
5,29,23,22
5,26,37,23
5,44,40,23
5,32,27,24
5,35,24,25
5,42,31,25
5,32,21,26
5,41,36,26
5,50,45,27
5,38,33,28
5,33,29,29
5,37,28,30
5,38,32,31
5,40,29,32
5,42,38,33
5,39,30,34
5,49,43,35
5,30,25,36
5,28,17,37
5,35,30,38
5,29,24,39
5,36,31,40
5,33,28,41
5,45,40,42
5,50,44,43
5,40,34,44
5,32,28,45
5,34,30,46
5,44,39,47
5,41,37,48
5,37,31,49
5,37,32,50
5,39,33,51
5,31,27,52
5,28,19,53
5,34,29,54
5,31,26,55
5,46,41,55
