1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
0	0	0	0	0	23	32	14	12	20	4	12	21	23	31	0	26	23	8	30	42	34	30	0	44	58	62	3	30	27	70	93	83	65	91	145	139	127	52	68	41	109	100	99	104	54	207	193	75	58
0	0	0	0	0	8	12	17	15	9	9	20	25	20	19	15	37	14	42	25	32	64	21	54	0	80	100	94	57	91	49	33	68	20	164	131	131	156	108	113	28	142	110	72	160	61	162	166	86	81
0	0	0	0	0	31	11	2	9	21	16	25	25	8	47	20	16	24	9	20	41	33	49	116	53	58	157	122	112	57	79	77	192	63	0	97	154	190	101	113	66	163	125	93	165	91	128	208	123	69
0	0	0	0	0	14	19	7	4	3	8	25	16	23	23	33	10	14	21	31	41	47	62	115	118	32	141	145	107	94	78	79	139	128	0	88	155	182	52	93	62	111	90	102	170	82	179	215	129	65
0	0	0	0	0	14	4	3	1	5	7	13	9	14	27	33	12	10	12	14	44	52	52	99	53	73	154	172	140	58	60	179	212	143	15	0	142	195	78	151	65	117	186	145	191	69	164	219	151	74
0	0	0	0	0	10	7	5	4	3	6	11	8	8	23	26	21	14	24	14	41	58	70	98	151	96	123	154	165	107	74	159	193	155	61	0	181	185	125	169	48	170	88	130	206	58	179	229	174	62
0	0	0	0	0	14	3	6	1	4	4	7	5	5	28	34	16	10	27	12	32	51	63	94	102	115	182	191	144	96	112	215	204	183	0	13	213	199	180	185	85	197	191	124	201	61	184	229	189	84
0	0	0	0	0	4	4	1	3	3	6	3	1	9	34	29	18	10	25	19	25	59	54	88	110	121	167	193	150	111	145	214	211	173	0	144	226	232	199	206	107	230	187	165	207	57	201	240	197	86
0	0	0	0	0	0	3	1	0	3	7	3	2	7	20	23	14	7	16	14	22	43	61	91	166	123	164	188	143	110	162	221	233	195	0	181	227	247	229	218	134	234	225	172	185	105	214	244	216	109
0	0	0	0	0	1	2	0	1	3	2	3	2	6	38	24	18	11	16	12	22	42	44	81	159	153	186	195	128	114	191	221	227	191	0	234	230	249	246	207	152	222	226	190	195	105	225	233	214	145
0	0	0	0	0	0	3	0	1	2	3	4	3	11	18	12	16	13	13	13	15	47	33	81	155	114	181	206	121	99	192	205	222	209	0	227	232	239	241	228	161	235	229	192	224	105	234	229	243	146
0	0	0	0	0	0	0	0	0	1	2	3	3	8	17	20	19	6	10	14	13	30	36	75	167	146	175	209	95	108	203	197	233	222	0	210	219	241	244	214	169	214	216	188	141	119	243	204	249	173
0	0	0	0	0	0	1	0	1	0	1	1	3	10	3	13	16	9	7	14	12	22	24	74	172	128	188	194	144	138	206	199	228	226	0	176	211	222	245	217	205	193	222	209	185	127	252	217	240	193
0	0	0	0	0	0	1	0	0	0	2	0	1	9	2	17	11	4	8	9	8	14	20	60	155	133	47	127	113	162	221	0	220	236	34	80	223	208	249	212	233	189	191	151	151	14	254	195	228	215
0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	2	15	5	11	9	8	8	15	33	113	112	94	0	159	148	241	226	230	246	168	228	247	232	242	238	247	223	236	214	200	248	241	228	239	202
0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	19	5	19	8	2	5	5	8	63	106	98	0	178	133	245	251	205	248	221	232	253	236	232	230	251	232	241	219	231	240	240	238	239	238
